sweep_id,venue,year,title,bucket,agreement,needs_adjudication,buckets_all,reason,confidence,model_id,runs,prompt_hash,run_date
SW0001,AAAI,2023,"AI for Equitable, Data-Driven Decisions in Public Health",CANDIDATE,3/3,,CANDIDATE;CANDIDATE;CANDIDATE,"Combines learning models with optimizing limited resources for public health interventions, indicating decision problems with predictive components.",medium,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0002,AAAI,2023,Beyond NaN: Resiliency of Optimization Layers in The Face of Infeasibility,CANDIDATE,3/3,,CANDIDATE;CANDIDATE;CANDIDATE,"Optimization layers in neural networks for joint learning and planning, with speed planning for autonomous driving as application.",high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0003,AAAI,2023,Boosted Dynamic Neural Networks,OUT,3/3,,OUT;OUT;OUT,Training methodology for neural network architecture; no external decision or optimization problem as object.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0004,AAAI,2023,Constrained Market Share Maximization by Signal-Guided Optimization,CANDIDATE,3/3,,CANDIDATE;CANDIDATE;CANDIDATE,Market share maximization with budget constraints is an optimization problem; prediction model for market share is the learned component.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0005,AAAI,2023,Dynamic Ensemble of Low-Fidelity Experts: Mitigating NAS “Cold-Start”,OUT,3/3,,OUT;OUT;OUT,"Neural Architecture Search is model-training machinery; the optimization finds better neural network architectures, not an external decision problem.",high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0006,AAAI,2023,Dynamic Heterogeneous Graph Attention Neural Architecture Search,OUT,3/3,,OUT;OUT;OUT,Neural architecture search is model-training machinery; no external decision or optimization problem is the object.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0007,AAAI,2023,End-to-End Learning for Optimization via Constraint-Enforcing Approximators,CANDIDATE,3/3,,CANDIDATE;CANDIDATE;CANDIDATE,"Optimization problems (shortest path, newsvendor, matching) are the object; predictive models provide inputs in end-to-end learning pipeline.",high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0008,AAAI,2023,Identification and Estimation of the Probabilities of Potential Outcome Types Using Covariate Information in Studies with Non-compliance,OUT,3/3,,OUT;OUT;OUT,"Causal inference and statistical estimation for treatment effects, no optimization or decision problem as object.",high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0009,AAAI,2023,IKOL: Inverse Kinematics Optimization Layer for 3D Human Pose and Shape Estimation via Gauss-Newton Differentiation,OUT,3/3,,OUT;OUT;OUT,"Inverse kinematics optimization is machinery for 3D pose estimation, not an external decision problem being solved.",high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0010,AAAI,2023,Implicit Bilevel Optimization: Differentiating through Bilevel Optimization Programming,CANDIDATE,3/3,,CANDIDATE;CANDIDATE;CANDIDATE,"Proposes differentiating through bilevel optimization as a layer, applicable to combinatorial problems, fitting solver/layer work pattern.",high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0011,AAAI,2023,Models as Agents: Optimizing Multi-Step Predictions of Interactive Local Models in Model-Based Multi-Agent Reinforcement Learning,OUT,3/3,,OUT;OUT;OUT,"Model-based MARL focuses on learning environment dynamics for policy training, not contextual optimization of decisions.",high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0012,AAAI,2023,Out-of-Distribution Generalization by Neural-Symbolic Joint Training,OUT,3/3,,OUT;OUT;OUT,"Object is learning interpretable rules and OOD generalization, not solving an optimization or decision problem.",high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0013,AAAI,2023,PASS: Patch Automatic Skip Scheme for Efficient Real-Time Video Perception on Edge Devices,OUT,3/3,,OUT;OUT;OUT,"Model acceleration via patch skipping for video perception; optimization is training machinery, not a decision problem.",high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0014,AAAI,2023,Predict+Optimize for Packing and Covering LPs with Unknown Parameters in Constraints,CANDIDATE,3/3,,CANDIDATE;CANDIDATE;CANDIDATE,Predict+Optimize framework combining ML prediction with constrained optimization for packing/covering LPs is core contextual optimization.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
