key,authors,venue,year,entry_route,pdf_file,oracle,denominator,aggregation,noise,cross_regime,formula_stated,contaminated,synthetic,in_table1,exclusion_reason,status_note
donti2017task,"Donti, Amos & Kolter",NeurIPS,2017,search,Donti2017_TaskBasedE2E.pdf,none,raw,mean,real,no,partial,no,no,no,"nonlinear stochastic programs (quadratic objectives: inventory, grid scheduling, battery arbitrage); outside the linear contextual setting","reports task loss, not a regret"
wilder2019melding,"Wilder, Dilkina & Tambe",AAAI,2019,library-method,Wilder2019_MeldingDataDecisions.pdf,none,raw,mean,mixed,qualitative,partial,no,no,yes,,"counted on the bipartite-matching experiment (LP, real cora data); budget allocation and recommendation are submodular; reports objective values, no regret"
elbalghiti2019generalization,"El Balghiti, Elmachtoub, Grigas & Tewari",MOOR,2019,theory,ElBalghiti2019_GeneralizationBounds.pdf,none,unknown,unknown,unknown,unknown,unknown,,,no,theory only; no experimental section exists (journal version read in full); rule 3,"cite the journal version (Mathematics of Operations Research, doi 10.1287/moor.2022.1330)"
elmachtoub2020decision,"Elmachtoub, Liang & McNellis",ICML,2020,search,ElmachtoubLiangMcNellis2020_SPOTrees.pdf,LA,oracle_cost,ratio_of_sums,mixed,yes,yes,yes,yes,yes,,normalized extra travel time
pogancic2020differentiation,"Pogancic, Paulus, Musil, Martius & Rolinek",ICLR,2020,library-method,Pogancic2020_BlackboxSolvers.pdf,LA,none,indicators,none,qualitative,no,,yes,no,"noiseless; reports percent-optimal, not a regret",
berthet2020learning,"Berthet, Blondel, Teboul, Cuturi, Vert & Bach",NeurIPS,2020,library-method,Berthet2020_PerturbedOptimizers.pdf,LA,true_sp_cost,unknown,none,no,no,no,yes,no,noiseless,
mandi2020smart,Mandi & Guns,NeurIPS,2020,library-method,MandiGuns2020_InteriorPoint.pdf,LA,raw,mean,mixed,no,yes,no,yes,yes,,shortest-path edge costs are synthetic with Gaussian noise on a real twitter graph; energy scheduling real
wang2020automatically,"Wang, Wilder, Perrault & Tambe",NeurIPS,2020,search,Wang2020_CompactSurrogates.pdf,LA,raw,unknown,mixed,yes,partial,yes,yes,no,"no experiment has an objective linear in the predicted parameter under the paper's own formulation (NSG non-convex; recommendation submodular; portfolio predicts p and Q); rule 1. POST-WORKSHOP: the portfolio objective is linear in (p,Q) jointly; adopting that reading would also re-admit donti2017task's battery experiment",cross-regime in problem size
bertsimas2020predictive,Bertsimas & Kallus,MS,2020,true-model,BertsimasKallus2020_PredictiveToPrescriptive.pdf,LA,ref_policy_regret,ratio_of_expectations,mixed,mild,yes,yes,yes,no,"two-stage shipment planning with LP recourse: cost is piecewise-linear, not linear, in Y (Sec. 13.1, p54); rule 1. The coefficient of prescriptiveness is discussed in the body and appendix regardless",coefficient of prescriptiveness; SAA reference
mulamba2021contrastive,"Mulamba, Mandi, Diligenti, Lombardi, Bucarey & Guns",IJCAI,2021,library-method,Mulamba2021_ContrastiveLosses.pdf,LA,raw,mean,mixed,no,yes,no,yes,yes,,"knapsack targets are real SEMO prices x synthetic slot weights + Gaussian noise (confirmed from the PredOpt benchmark repository, not from the paper)"
liu2021risk,Liu & Grigas,NeurIPS,2021,theory,LiuGrigas2021_RiskBoundsSPO.pdf,LA,oracle_cost,ratio_of_sums,mixed,unknown,yes,yes,yes,yes,,"promoted 2026-08-31: Section 5 reports a normalized SPO loss with a stated formula on an E&G-style noisy DGP (ebar in {0, 0.5}, Appendix D of the arXiv version)"
elmachtoub2022smart,Elmachtoub & Grigas,MS,2022,library-method,ElmachtoubGrigas2022_SmartPredictThenOptimize.pdf,LA,oracle_cost,ratio_of_sums,yes,yes,yes,yes,yes,yes,,"normalized SPO loss; ebar in {0, 0.5}"
hu2022fast,"Hu, Kallus & Mao",MS,2022,true-model,HuKallusMao2022_FastRates.pdf,TM,oracle_cost,ratio_of_sums,yes,yes,yes,no,yes,yes,,true-model oracle: its cross-n and cross-hypothesis-class comparisons are same-DGP and premium-free
mandi2022decision,"Mandi, Bucarey, Tchomba & Guns",ICML,2022,library-method,Mandi2022_LearningToRank.pdf,LA,per_instance,mean_of_ratios,mixed,mild,yes,yes,yes,yes,,learning to rank; percentage regret
