key,field,value,evidence_type,evidence,pdf_file,page,section,note
donti2017task,metric_name,task loss (cost),quote,"Explicitly, we wish to choose θ to minimize the task loss L(θ) in the context of x, y ∼ D, i.e.",Donti2017_TaskBasedE2E.pdf,3,3 End-to-end model learning in stochastic programming,"Followed by Eq. (1): minimize L(θ) = E_{x,y~D}[f(x, y, z*(x; θ))]. What is reported experimentally is this cost/task loss, not a regret."
donti2017task,metric_name,task loss (cost),quote,"Table 1: Task loss results for 10 runs each of the battery storage problem, given a lithium-ion battery",Donti2017_TaskBasedE2E.pdf,9,4.3 Price forecasting and battery storage,"Battery: raw task-loss values plus '% Improvement' over the RMSE net. Inventory: 'Cost is evaluated over 1000 testing samples (lower is better)' (Fig. 2 caption, p. 7). Grid: 'the task net improves upon this method by 8.6%' (p. 8)."
donti2017task,oracle,none,quote,Cost is evaluated over 1000 testing samples,Donti2017_TaskBasedE2E.pdf,7,4.1 Inventory stock problem -- Figure 2 caption,"No regret is reported; achieved cost / task loss only. The inventory experiment plots 'the QP allocation based upon the true model (which performs optimally)' (p. 6) as a baseline curve -- a true-model (TM) oracle shown as a comparator, but the reported metric remains the raw cost, and no difference-from-oracle is computed."
donti2017task,setting,nonlinear stochastic programs (exclusion rule 1),quote,"We consider three applications of our task-based method: a synthetic inventory stock problem, a real-world energy scheduling task, and a real-world battery arbitrage task.",Donti2017_TaskBasedE2E.pdf,5,4 Experiments,"All three are stochastic programs whose objectives are quadratic in the decision, not linear in the uncertain quantity."
donti2017task,setting,nonlinear stochastic programs (exclusion rule 1),equation,"There are linear and quadratic costs on the amount of product ordered, plus different linear/quadratic costs on over-orders [z − y]+ and under-orders [y − z]+ . The objective is given by :: Eq. (8): f_stock(y,z) = c0 z + (1/2) q0 z^2 + cb [y−z]+ + (1/2) qb ([y−z]+)^2 + ch [z−y]+ + (1/2) qh ([z−y]+)^2",Donti2017_TaskBasedE2E.pdf,6,4.1 Inventory stock problem,Quadratic newsvendor-style cost; solved as a joint quadratic program (Eq. (10)) over the conditional distribution p(y|x;theta).
donti2017task,setting,nonlinear stochastic programs (exclusion rule 1),equation,"Given a particular realization y of demand, we impose penalties for both generation excess (γe ) and generation shortage (γs ), with γs  γe . We also add a quadratic regularization term, indicating a preference for generation schedules that closely match demand realizations. :: Eq. (11): min_z sum_{i=1}^{24} E_y[ γs [y_i − z_i]+ + γe [z_i − y_i]+ + (1/2)(z_i − y_i)^2 ] s.t. |z_i − z_{i−1}| ≤ c_r",Donti2017_TaskBasedE2E.pdf,7,4.2 Load forecasting and generator scheduling,Grid-scheduling objective has piecewise-linear penalties plus an explicit quadratic term in (z − y).
donti2017task,setting,nonlinear stochastic programs (exclusion rule 1),equation,This can be written as the stochastic programming problem :: Eq. (12): min E_y[ sum_i y_i (z_in − z_out)_i + λ ||z_state − B/2||^2 + ε||z_in||^2 + ε||z_out||^2 ] s.t. battery dynamics and box constraints,Donti2017_TaskBasedE2E.pdf,9,4.3 Price forecasting and battery storage,Battery arbitrage objective: linear revenue term plus quadratic penalties in the decision variables.
wilder2019melding,metric_name,solution quality (objective value under true parameters),quote,Table 1: Solution quality of each method for the full data-decisions pipeline.,Wilder2019_MeldingDataDecisions.pdf,6,Experiments (Table 1),Paper's own name for the reported quantity is 'solution quality'.
wilder2019melding,metric_name,solution quality (objective value under true parameters),quote,Solution quality: Table 1 shows the solution quality that,Wilder2019_MeldingDataDecisions.pdf,6,Experiments -- Solution quality,"Continues on the next line of the same column: 'each approaches obtains on the full pipeline; i.e., the ob- jective value of its decision evaluated using the true param- eters.' (two-column layout interleaves lines, so quoted one line at a time)."
wilder2019melding,oracle,none,quote,jective value of its decision evaluated using the true param-,Wilder2019_MeldingDataDecisions.pdf,6,Experiments -- Solution quality,"Reported quantity is the realized objective f(x(theta_hat), theta), not a regret against any oracle. No optimum-under-true-parameters row appears in Table 1 (only a 'Random' baseline)."
