sweep_id,venue,year,title,bucket,reason,confidence,frame_id,model_id,prompt_hash,run_date
SW0001,AAAI,2023,"AI for Equitable, Data-Driven Decisions in Public Health",CANDIDATE,Mentions optimizing limited resources in interventions and learning models for prediction in public health decision contexts.,medium,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0002,AAAI,2023,Beyond NaN: Resiliency of Optimization Layers in The Face of Infeasibility,CANDIDATE,"Optimization layers embedded in neural networks for joint learning and planning, with applications to autonomous driving speed planning.",high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0003,AAAI,2023,Boosted Dynamic Neural Networks,OUT,Early-exiting neural networks optimize model training/inference efficiency; no external decision or optimization problem as object.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0004,AAAI,2023,Constrained Market Share Maximization by Signal-Guided Optimization,CANDIDATE,Optimization problem (flight frequency allocation) with learned market share prediction component in same pipeline.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0005,AAAI,2023,Dynamic Ensemble of Low-Fidelity Experts: Mitigating NAS “Cold-Start”,OUT,Neural architecture search is model-training machinery; no external decision or optimization problem as object of work.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0006,AAAI,2023,Dynamic Heterogeneous Graph Attention Neural Architecture Search,OUT,"Neural architecture search for graph neural networks; optimization is only for model design, not an external decision problem.",high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0007,AAAI,2023,End-to-End Learning for Optimization via Constraint-Enforcing Approximators,CANDIDATE,"Shortest path, newsvendor, and matching are decision problems; learned predictions feed downstream optimization.",high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0008,AAAI,2023,Identification and Estimation of the Probabilities of Potential Outcome Types Using Covariate Information in Studies with Non-compliance,OUT,Statistical estimation of causal effects in randomized trials; no optimization or decision problem as object of work.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0009,AAAI,2023,IKOL: Inverse Kinematics Optimization Layer for 3D Human Pose and Shape Estimation via Gauss-Newton Differentiation,OUT,"Pose estimation is the end goal; optimization is only machinery for model training/inference, not an external decision problem.",high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0010,AAAI,2023,Implicit Bilevel Optimization: Differentiating through Bilevel Optimization Programming,CANDIDATE,"Bilevel optimization as a layer in deep learning pipelines, applicable to combinatorial and continuous decision problems.",high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0011,AAAI,2023,Models as Agents: Optimizing Multi-Step Predictions of Interactive Local Models in Model-Based Multi-Agent Reinforcement Learning,OUT,"Multi-agent RL model learning; optimization is for training dynamics/model accuracy, not an external decision problem.",high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0012,AAAI,2023,Out-of-Distribution Generalization by Neural-Symbolic Joint Training,OUT,No optimization or decision problem as object; focuses on representation learning and generalization via neural-symbolic methods.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0013,AAAI,2023,PASS: Patch Automatic Skip Scheme for Efficient Real-Time Video Perception on Edge Devices,OUT,Focuses on efficient video processing via patch skipping; no external optimization or decision problem as object.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0014,AAAI,2023,Predict+Optimize for Packing and Covering LPs with Unknown Parameters in Constraints,CANDIDATE,Optimization problems (packing/covering LPs) are the object; learned predictions of unknown parameters feed into solving them.,high,SF0132,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0015,AAAI,2023,Privacy-Preserved Evolutionary Graph Modeling via Gromov-Wasserstein Autoregression,OUT,Generative modeling of graph sequences; no downstream decision or optimization problem as the object of work.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0016,AAAI,2023,Scalable Bayesian Meta-Learning through Generalized Implicit Gradients,OUT,Meta-learning methodology with no external decision or optimization problem as object of work.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0017,AAAI,2023,Scalable Decision-Focused Learning in Restless Multi-Armed Bandits with Application to Maternal and Child Health,CANDIDATE,RMAB is a sequential decision problem; learned model predicts transitions to optimize Whittle index policy quality.,high,SF0290,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0018,AAAI,2023,Smoothed Online Combinatorial Optimization Using Imperfect Predictions,CANDIDATE,Combinatorial optimization is the object; predictions of future costs guide decisions in the pipeline.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0019,AAAI,2024,Contrastive Balancing Representation Learning for Heterogeneous Dose-Response Curves Estimation,CANDIDATE,Treatment dose selection is a decision problem; learned representations predict counterfactual outcomes for decision-making in precision medicine.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0020,AAAI,2024,Double-Bounded Optimal Transport for Advanced Clustering and Classification,OUT,Clustering and classification are the applications; no external optimization or decision problem is the object of work.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0021,AAAI,2024,E2E-AT: A Unified Framework for Tackling Uncertainty in Task-Aware End-to-End Learning,CANDIDATE,Power system scheduling is a decision problem; prediction (load forecasting) feeds into optimization in same pipeline.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
