frame_id,canonical_id,final_bucket,machine_bucket,ruled_by,reviewed,adjudicated,reason,agreement,title,year,model_id,prompt_hash,run_date
SF0001,SF0001,BACKGROUND,BACKGROUND,VG,yes,,A general machine-learning technique for training neural networks with privacy guarantees; no decision or optimization problem as its object.,3/3,Deep learning with differential privacy,2016,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0002,SF0002,CANDIDATE,CANDIDATE,machine,no,,"Proposes a fully differentiable approach to combinatorial optimization for a computer vision task, building machinery for differentiating through discrete optimization relevant to decision-focused learning.",3/3,Combinatorial optimization for panoptic segmentation: A fully differentiable approach,2021,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0003,SF0003,BACKGROUND,BORDERLINE,VG,yes,yes,online-learning (FTPL) interpretation of pertrubation,3/3,Perturbation techniques in online learning and optimization,2016,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0004,SF0004,BACKGROUND,BACKGROUND,VG,yes,,"A paper on ReLU activation functions, a general neural network component with no decision problem as its object (b).",3/3,Deep learning using rectified linear units (relu),2019,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0005,SF0005,CANDIDATE,CANDIDATE,machine,no,,"Foundational work on differentiable optimization layers, core machinery enabling gradient-based learning through convex optimization problems used in decision-focused learning.",3/3,Differentiable convex optimization layers,2019,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0006,SF0006,CANDIDATE,CANDIDATE,machine,no,,"Develops methods for differentiating through cone programs, which is core machinery for decision-focused learning and end-to-end optimization layers.",3/3,Differentiating through a cone program,2019,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0007,SF0007,CANDIDATE,CANDIDATE,machine,no,,"Pricing analytics for ticket reselling involves making pricing decisions from demand predictions, a prescriptive analytics application with learned inputs.",3/3,Pricing for heterogeneous products: Analytics for ticket reselling,2023,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0008,SF0008,CANDIDATE,CANDIDATE,machine,no,,"OptNet introduces differentiable quadratic programming layers for neural networks, foundational machinery enabling end-to-end learning through optimization problems in decision-focused learning.",3/3,OptNet: Differentiable optimization as a layer in neural networks,2017,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0009,SF0009,CANDIDATE,CANDIDATE,machine,no,,"Proposes a differentiable optimization layer for multi-label prediction, which is machinery for embedding optimization in learning pipelines relevant to decision-focused methods.",3/3,The limited multi-label projection layer,2019,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0010,SF0010,BACKGROUND,BACKGROUND,VG,yes,,"Foundational mathematical paper on reproducing kernel Hilbert spaces, a general statistical/estimation method with no downstream decision problem. Category (c).",3/3,Theory of reproducing kernels,1950,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
