frame_id,canonical_id,method,bucket,agreement,buckets_all,reason,confidence,title,year,model_id,runs,prompt_hash,run_date
SF0001,SF0001,llm,BACKGROUND,3/3,BACKGROUND;BACKGROUND;BACKGROUND,A general machine-learning technique for training neural networks with privacy guarantees; no decision or optimization problem as its object.,high,Deep learning with differential privacy,2016,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0002,SF0002,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,"Proposes a fully differentiable approach to combinatorial optimization for a computer vision task, building machinery for differentiating through discrete optimization relevant to decision-focused learning.",medium,Combinatorial optimization for panoptic segmentation: A fully differentiable approach,2021,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0003,SF0003,llm,BORDERLINE,3/3,BORDERLINE;BORDERLINE;BORDERLINE,"Online learning and optimization with perturbation techniques could involve decision-making from predictions, but the scope is unclear without seeing if contextual/predictive elements are present.",medium,Perturbation techniques in online learning and optimization,2016,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0004,SF0004,llm,BACKGROUND,3/3,BACKGROUND;BACKGROUND;BACKGROUND,"A paper on ReLU activation functions, a general neural network component with no decision problem as its object (b).",high,Deep learning using rectified linear units (relu),2019,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0005,SF0005,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,"Foundational work on differentiable optimization layers, core machinery enabling gradient-based learning through convex optimization problems used in decision-focused learning.",high,Differentiable convex optimization layers,2019,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0006,SF0006,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,"Develops methods for differentiating through cone programs, which is core machinery for decision-focused learning and end-to-end optimization layers.",high,Differentiating through a cone program,2019,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0007,SF0007,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,"Pricing analytics for ticket reselling involves making pricing decisions from demand predictions, a prescriptive analytics application with learned inputs.",high,Pricing for heterogeneous products: Analytics for ticket reselling,2023,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0008,SF0008,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,"OptNet introduces differentiable quadratic programming layers for neural networks, foundational machinery enabling end-to-end learning through optimization problems in decision-focused learning.",high,OptNet: Differentiable optimization as a layer in neural networks,2017,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0009,SF0009,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,"Proposes a differentiable optimization layer for multi-label prediction, which is machinery for embedding optimization in learning pipelines relevant to decision-focused methods.",high,The limited multi-label projection layer,2019,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0010,SF0010,llm,BACKGROUND,3/3,BACKGROUND;BACKGROUND;BACKGROUND,"Foundational mathematical paper on reproducing kernel Hilbert spaces, a general statistical/estimation method with no downstream decision problem. Category (c).",high,Theory of reproducing kernels,1950,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
